Q_GDP_1	Q_GDP_Demand_1	Q_GDP_Demand_2_1
977,4186324	1065,382809	984,9652896
988,2225621	1077,98148	997,162457
990,6928233	1080,257997	999,0615808
986,6532508	1078,982185	997,405583
987,0461743	1078,638394	996,6020713
999,6942329	1093,364915	1010,949211
1002,335981	1097,183483	1014,389249
998,5765559	1092,630964	1009,448464
1007,091872	1100,749838	1017,047742
1008,991061	1103,220333	1019,122747
1020,322484	1113,733976	1029,243057
1011,607811	1104,960322	1020,063369
1018,181534	1113,349267	1027,983207
1027,493763	1126,660207	1040,902946
1025,62285	1122,391914	1036,223121
1033,626522	1126,309726	1039,724476
1026,010427	1115,73603	1028,65343
1046,6096	1137,778763	1050,240717
1051,646375	1143,005172	1054,65797
1056,225381	1145,23253	1056,448045
1084,928212	1159,761304	1069,686314
1104,252879	1184,94268	1095,562278
1127,055976	1218,878484	1129,178865
1128,590227	1218,834479	1128,701173
1148,04603	1250,16726	1159,543609
1106,781013	1209,661125	1118,561245
1101,712309	1203,533064	1112,015134
1110,199294	1214,14867	1122,215459
1123,6958	1225,926721	1133,4639
1135,794933	1237,9427	1145,035414
1129,168291	1224,709599	1131,385095
1133,454782	1232,012337	1138,26925
1155,053914	1250,899791	1156,551182
1181,028721	1282,133071	1187,301442
1166,385331	1267,725561	1172,489133
1160,650764	1265,608068	1169,946241
1167,826914	1267,629894	1171,398615
1172,485339	1280,005409	1183,33715
1161,286191	1268,196185	1171,081674
1161,395072	1267,348571	1169,756768
1170,285456	1277,831877	1179,659551
1163,656414	1274,345143	1175,694945
1164,926626	1276,051121	1176,993095
1169,661062	1284,273783	1184,738467
1167,621305	1276,786388	1176,627856
1175,773854	1281,756944	1181,138769
1182,49993	1288,330585	1187,251964
1207,305762	1314,377819	1212,808447
1215,980596	1320,62299	1218,476032
1226,169397	1333,004005	1230,259254
1230,444897	1340,430881	1237,241683
1229,930412	1343,192547	1239,536467
1236,161686	1347,983408	1243,73956
1241,57577	1348,288149	1243,563323
1272,213964	1394,673844	1289,518147
1219,995803	1343,741779	1238,05969
1230,555277	1349,525112	1243,193987
1236,910901	1359,384787	1252,548556
1238,458816	1363,018234	1255,683337
1248,214053	1370,27803	1262,436953
1259,564745	1378,361028	1269,922652
1268,383717	1386,19538	1277,270592
1276,82638	1398,420068	1288,947311
1272,69698	1404,890006	1294,882559
1289,663656	1419,968946	1309,324993
1284,135496	1412,916894	1301,701613
1285,451196	1414,194695	1302,527357
1286,152404	1415,570266	1303,361115
1296,972732	1425,005116	1312,105828
1305,289268	1431,752742	1318,337163
1301,201246	1427,42512	1313,477415
1300,350635	1427,180037	1312,70227
1316,38244	1443,022837	1327,902847
1323,707676	1455,508972	1339,837949
1328,668298	1459,856799	1343,624782
1328,541562	1458,42025	1341,622199
1342,701374	1472,843351	1355,383247
1371,075931	1499,074901	1381,058348
1372,655405	1484,092441	1365,52844
1405,786721	1521,813713	1402,678218
1428,583571	1565,114563	1445,295338
1440,912823	1574,694812	1454,305612
1446,084599	1577,134644	1456,157102
1417,194975	1557,270525	1435,72337
1422,632891	1567,466326	1445,252522
1417,832041	1566,919191	1444,136252
1424,14186	1572,844676	1449,462515
1421,518791	1568,156667	1444,164155
1423,59622	1568,368589	1443,691991
1445,21398	1588,304281	1462,983864
1459,065374	1604,051664	1478,155374
1471,872765	1620,325196	1493,83947
1478,206336	1629,840947	1502,638208
1477,877655	1636,029099	1508,224333
1470,990229	1630,46327	1502,059783
1460,407564	1624,060458	1495,052662
1457,566934	1619,866212	1490,132917
1459,231476	1623,622159	1493,228161
1462,180787	1623,639944	1492,619209
1461,582364	1618,752099	1487,095374
1471,795076	1625,200262	1492,801795
1466,001259	1624,789121	1491,778443
1491,874235	1648,247399	1514,659556
1500,400019	1668,040168	1533,780231
1502,709193	1665,943887	1530,860703
1527,566211	1688,652063	1552,885233
1529,371226	1688,281755	1551,268517
1565,299958	1722,4682	1585,434693
1568,549776	1718,687921	1580,927017
1610,106165	1767,953523	1629,55765
1612,948287	1774,119691	1635,025993
1605,601926	1776,524072	1636,749214
1611,166335	1776,919861	1636,38232
1585,639329	1759,217008	1617,974676
1593,667507	1771,409025	1629,603585
1579,78851	1755,758468	1613,229993
1598,384209	1777,94282	1634,554008
1591,155759	1767,462312	1623,397745
1587,787522	1763,797347	1619,080823
1597,530404	1771,704834	1626,280328
1606,843897	1781,847929	1635,602678
1617,869367	1797,034285	1650,101262
1623,492591	1801,831586	1654,178005
1622,809356	1800,236174	1651,861943
1649,084207	1824,115735	1674,910581
1639,968625	1817,895356	1667,972288
1643,153187	1824,839052	1674,248482
1644,817142	1829,803478	1678,469581
1649,622023	1833,14381	1680,913435
1655,206963	1839,642578	1686,700631
1638,33046	1823,56255	1669,89666
1647,450963	1834,527461	1679,514094
1666,595981	1850,76982	1695,529108
1682,339778	1867,838499	1711,842818
1685,419415	1871,094092	1714,328225
1692,069066	1881,447989	1723,910584
1712,020747	1899,24393	1740,851902
1724,473131	1907,172233	1747,979621
1739,011428	1923,640869	1763,736365
1756,519593	1943,121127	1782,438792
1786,809463	1976,376523	1814,763179
1804,157844	1993,214473	1830,830648
1811,268404	2003,769902	1840,628314
1790,981773	1986,561518	1822,621854
1812,383769	2010,986874	1846,162233
1808,577431	2013,080459	1847,435737
1817,350876	2023,534586	1857,10448
1802,170576	2006,964904	1839,72179
1813,299358	2017,623892	1849,49644
1838,463391	2043,217869	1874,286491
1835,807844	2040,873673	1871,170515
1846,041283	2051,821787	1881,287044
1845,068415	2049,960745	1878,375826
1862,080218	2063,845801	1891,444262
1880,084102	2084,679138	1911,463017
1857,163432	2072,719221	1898,675821
1876,109619	2083,513208	1908,525048
1888,580348	2108,778195	1932,944759
1866,569754	2082,452351	1905,757458
1871,124399	2084,685509	1907,130878
1890,382336	2101,508772	1922,994011
1904,633408	2112,059454	1932,658015
1917,847273	2121,721848	1941,570012
1930,242101	2135,4421	1954,373281
1956,22969	2168,529098	1986,331651
1969,96555	2187,564282	2004,521507
1967,364721	2186,321043	2002,409428
1968,40777	2190,850466	2006,068396
1973,979361	2198,350679	2012,564694
1992,978758	2220,094426	2033,400701
2003,301551	2232,927035	2045,317895
2002,55393	2233,983759	2045,462029
2008,393401	2240,196841	2050,667159
1983,008263	2217,626316	2027,177041
1992,695206	2232,562761	2041,287879
1984,029115	2229,808937	2037,585018
1998,233536	2243,604804	2050,217829
1997,878412	2243,450513	2049,133588
2001,428653	2245,021358	2049,782858
2029,01531	2268,302989	2072,11851
2042,944378	2279,394193	2082,148431
2065,341736	2307,092129	2108,909713
2072,288134	2320,285992	2121,125498
2081,994431	2335,925847	2135,792231
2084,454836	2335,264066	2134,030913
2062,521232	2317,990757	2115,787255
2078,690037	2341,137529	2138,005014
2073,929398	2337,412502	2133,267905
2101,660761	2362,9015	2157,616088
2103,302855	2365,072618	2158,790439
2104,220735	2367,04326	2159,788468
2109,601512	2371,51227	2163,241432
2139,025415	2401,821193	2192,41905
2158,980098	2422,303042	2211,870623
2162,736051	2427,070132	2215,61133
2186,36597	2454,263408	2241,776355
2206,335877	2466,700156	2253,07305
2235,756178	2487,773958	2273,1001
2240,202601	2493,973969	2278,273461
2278,935511	2552,557855	2335,835549
2296,130363	2568,519623	2350,580925
2287,904858	2567,141281	2348,107202
2278,515976	2559,828836	2339,801636
2238,309781	2526,046916	2304,947604
2277,720054	2566,337393	2344,036437
2287,136706	2577,844775	2354,429923
2283,599121	2575,09571	2350,5864
2282,469404	2572,138932	2346,551941
2292,792037	2581,593412	2354,797011
2348,024648	2633,023911	2405,079141
2349,896763	2634,829213	2405,860238
2355,519189	2645,751488	2415,674487
2384,326108	2678,880974	2447,431788
