"Mean","Variance"
0.27557058475425,0.0263896044256671
0.16763766082446,0.00917423838735823
0.29516238710775,0.0267468621486827
0.34656225892593,0.0361555269814215
0.29252018951375,0.0237781693952996
0.25095542462398,0.00758045698681199
0.49852078126792,0.0466073338350854
0.65382930443403,0.0344821968167176
0.36444199712209,0.015832504995011
0.39978605138975,0.011099637350884
1.17140910010801,0.0440669544813818
0.20805765989667,0.0153686300903048
0.23414895257251,0.0125580176478754
0.46856247406175,0.0442339140782622
0.80692898344738,0.102641412768194
0.14734597990257,0.0152932105951218
0.37379682710966,0.0299614100114067
0.61695668315797,0.0573983778628059
0.65724658154784,0.0740926045884537
0.39046637262182,0.00565040863071547
0.087610171960833,0.00527909800460042
0.49115066308476,0.0422942464198847
0.37193368995452,0.0395474666438017
0.2573264671992,0.00497520469014665
0.1635056904479,0.0087885420971607
0.121479289628697,0.0148349863747295
0.30388698093115,0.0260089758834568
0.0541599121604758,0.0150532975241548
0.21523656633873,0.00555258753758017
0.0209099389785576,0.0139199866960826
0.45680813833569,0.0192330909644251
0.101360791678489,0.0296850995502493
0.22099874906687,0.00545389138523076
