"Mean","Variance"
0.0189580087698078,0.000946626360808029
0.0188798950740483,0.000869897287287212
0.0180148609941964,0.000847991716842547
0.0172683987306307,0.0018515490657369
0.0196738294364693,0.000865488120508525
0.0187053297791956,0.000253085427156873
0.0277523227151069,0.00341475941265929
0.0453930254078532,0.00628717983020977
0.0180344342040264,0.000563295749273507
0.0203697312558905,0.000672948707815093
0.596535874308133,0.066340264423615
1.53887476921294,0.168223234667885
0.0170327359517253,0.000368276124489442
0.0187194513369932,0.00275998660499197
0.0580442995229596,0.0425171697090855
28.7750023819826,12.2376564022181
0.0199292786475108,0.00143334164465261
0.0342556488990852,0.00800598588207802
0.0491910642929357,0.0119315228425741
0.0221823597618598,0.000320429025921559
0.0175789328376026,0.000926403186074719
0.0279226125052034,0.00645758822883022
0.0169905312422531,0.00148225802712785
0.018956892506132,0.000481079017090352
0.018490283291901,0.000664487560062355
0.137884240609895,0.0147056689201791
0.0186730534410678,0.00147073435381942
0.0557890951580263,0.0158437042073023
0.017524208434963,0.000151547977513165
1.61821301340527,0.594041928310764
0.0270395413035481,0.000746193901646401
0.0524331363617128,0.0108801458024327
0.017456762098432,0.000191329297778854
